"gene_id"	"trans_id"	"omega_Fice"	"dN_Fice"	"dS_Fice"
"ENSFALG00000006225"	"ENSFALT00000006524"	0.1445	0.0108	0.0748
"ENSFALG00000006221"	"ENSFALT00000006525"	1e-04	0	0.0542
"ENSFALG00000006227"	"ENSFALT00000006526"	0.1201	0.0022	0.0186
"ENSFALG00000006224"	"ENSFALT00000006528"	0.0637	0.0062	0.0982
"ENSFALG00000006229"	"ENSFALT00000006529"	0.0561	0.0187	0.3341
"ENSFALG00000006230"	"ENSFALT00000006531"	0.235	0.0127	0.0539
"ENSFALG00000006233"	"ENSFALT00000006533"	0.0368	0.0052	0.1405
"ENSFALG00000006235"	"ENSFALT00000006535"	1.2459	0.0287	0.023
"ENSFALG00000006234"	"ENSFALT00000006538"	0.2263	0.0103	0.0456
"ENSFALG00000006238"	"ENSFALT00000006540"	0.067	0.0015	0.022
"ENSFALG00000006242"	"ENSFALT00000006543"	0.1758	0.0035	0.0201
"ENSFALG00000006244"	"ENSFALT00000006544"	0.0266	0.0019	0.0708
"ENSFALG00000006248"	"ENSFALT00000006546"	0.1479	0.0121	0.0818
"ENSFALG00000006239"	"ENSFALT00000006547"	0.1143	0.005	0.0434
"ENSFALG00000006251"	"ENSFALT00000006548"	0.1091	0.0039	0.0361
"ENSFALG00000006245"	"ENSFALT00000006549"	1e-04	0	0.0556
"ENSFALG00000006253"	"ENSFALT00000006553"	1e-04	0	0.0197
"ENSFALG00000006256"	"ENSFALT00000006554"	0.0822	0.0086	0.1043
"ENSFALG00000006257"	"ENSFALT00000006555"	0.7114	0.0281	0.0394
"ENSFALG00000006252"	"ENSFALT00000006557"	0.1645	0.0043	0.0261
"ENSFALG00000006260"	"ENSFALT00000006558"	0.1136	0.004	0.0356
"ENSFALG00000006243"	"ENSFALT00000006559"	0.0882	0.0079	0.0892
"ENSFALG00000006261"	"ENSFALT00000006561"	0.1443	0.0027	0.0186
"ENSFALG00000006263"	"ENSFALT00000006562"	0.031	5e-04	0.0147
"ENSFALG00000006259"	"ENSFALT00000006563"	0.796	0.0226	0.0284
"ENSFALG00000006267"	"ENSFALT00000006565"	0.3167	0.0064	0.0202
"ENSFALG00000006268"	"ENSFALT00000006566"	0.3075	0.0075	0.0243
"ENSFALG00000006269"	"ENSFALT00000006567"	1e-04	0	0.0957
"ENSFALG00000006270"	"ENSFALT00000006568"	1e-04	0	0.0653
"ENSFALG00000006271"	"ENSFALT00000006569"	0.0091	0.0013	0.1433
"ENSFALG00000006258"	"ENSFALT00000006570"	1e-04	0	0.037
"ENSFALG00000006273"	"ENSFALT00000006571"	1e-04	0	0.0174
"ENSFALG00000006274"	"ENSFALT00000006574"	1e-04	0	0.0537
"ENSFALG00000006249"	"ENSFALT00000006576"	0.2678	0.0178	0.0663
"ENSFALG00000006277"	"ENSFALT00000006577"	0.7437	0.0366	0.0493
"ENSFALG00000006272"	"ENSFALT00000006580"	0.3559	0.0181	0.0508
"ENSFALG00000006279"	"ENSFALT00000006581"	0.0338	0.0067	0.197
"ENSFALG00000006280"	"ENSFALT00000006582"	0.2497	0.0076	0.0304
"ENSFALG00000006281"	"ENSFALT00000006583"	999	0.0075	0
"ENSFALG00000006282"	"ENSFALT00000006584"	0.2191	0.0076	0.0346
"ENSFALG00000006284"	"ENSFALT00000006585"	0.0337	0.004	0.1175
"ENSFALG00000006286"	"ENSFALT00000006586"	0.0554	0.0022	0.0397
"ENSFALG00000006285"	"ENSFALT00000006588"	0.0396	0.0013	0.0334
"ENSFALG00000006291"	"ENSFALT00000006591"	0.0706	0.0038	0.0537
"ENSFALG00000006290"	"ENSFALT00000006592"	0.9324	0.0179	0.0192
"ENSFALG00000006292"	"ENSFALT00000006593"	0.1329	0.008	0.0604
"ENSFALG00000006295"	"ENSFALT00000006594"	0.183	0.0131	0.0715
"ENSFALG00000006296"	"ENSFALT00000006595"	1e-04	0	0.0531
"ENSFALG00000006298"	"ENSFALT00000006598"	0.0357	0.0023	0.0655
"ENSFALG00000006301"	"ENSFALT00000006600"	1e-04	0	0.0492
"ENSFALG00000006297"	"ENSFALT00000006601"	0.0285	0.0014	0.0495
"ENSFALG00000006302"	"ENSFALT00000006602"	0.1031	0.0072	0.0694
"ENSFALG00000006300"	"ENSFALT00000006606"	0.2345	0.0142	0.0606
"ENSFALG00000006307"	"ENSFALT00000006608"	0.135	0.0075	0.0558
"ENSFALG00000006304"	"ENSFALT00000006611"	0.1368	0.0103	0.0752
"ENSFALG00000006311"	"ENSFALT00000006612"	0.1221	0.0109	0.0891
"ENSFALG00000006312"	"ENSFALT00000006614"	0.0519	0.0032	0.0622
"ENSFALG00000006283"	"ENSFALT00000006615"	0.0468	0.0042	0.09
"ENSFALG00000006314"	"ENSFALT00000006616"	0.0478	0.0021	0.0442
"ENSFALG00000006318"	"ENSFALT00000006619"	0.2991	0.0304	0.1015
"ENSFALG00000006320"	"ENSFALT00000006621"	1.2908	0.0033	0.0026
"ENSFALG00000006319"	"ENSFALT00000006622"	0.0136	0.0032	0.2378
"ENSFALG00000006324"	"ENSFALT00000006626"	0.0555	0.003	0.0537
"ENSFALG00000006326"	"ENSFALT00000006628"	0.1418	0.0057	0.04
"ENSFALG00000006329"	"ENSFALT00000006629"	0.114	0.0098	0.0861
"ENSFALG00000006316"	"ENSFALT00000006631"	0.0422	0.0025	0.0603
"ENSFALG00000006332"	"ENSFALT00000006633"	1.0181	0.0616	0.0605
"ENSFALG00000006331"	"ENSFALT00000006636"	0.2553	0.0449	0.1758
"ENSFALG00000006335"	"ENSFALT00000006637"	1.8006	0.0382	0.0212
"ENSFALG00000006336"	"ENSFALT00000006638"	1e-04	0	0.0604
"ENSFALG00000006327"	"ENSFALT00000006639"	0.1019	0.0019	0.0185
"ENSFALG00000006339"	"ENSFALT00000006641"	0.1782	0.0119	0.0669
"ENSFALG00000006341"	"ENSFALT00000006642"	1e-04	0	0.0393
"ENSFALG00000006338"	"ENSFALT00000006643"	0.0424	0.0031	0.074
"ENSFALG00000006340"	"ENSFALT00000006644"	0.3948	0.0087	0.0221
"ENSFALG00000006342"	"ENSFALT00000006645"	0.1732	0.0089	0.0517
"ENSFALG00000006347"	"ENSFALT00000006647"	0.0946	0.0201	0.212
"ENSFALG00000006348"	"ENSFALT00000006649"	0.4159	0.0215	0.0516
"ENSFALG00000006350"	"ENSFALT00000006650"	0.0344	0.0017	0.0505
"ENSFALG00000006333"	"ENSFALT00000006651"	0.0557	0.0037	0.0665
"ENSFALG00000006349"	"ENSFALT00000006653"	0.0946	0.0103	0.1092
"ENSFALG00000006352"	"ENSFALT00000006654"	1e-04	0	0.0148
"ENSFALG00000006346"	"ENSFALT00000006655"	0.0402	0.0022	0.0553
"ENSFALG00000006354"	"ENSFALT00000006657"	1e-04	0	0.033
"ENSFALG00000006355"	"ENSFALT00000006658"	0.0483	0.0019	0.0391
"ENSFALG00000006358"	"ENSFALT00000006660"	0.0163	0.0026	0.1578
"ENSFALG00000006360"	"ENSFALT00000006661"	0.1617	0.0076	0.0469
"ENSFALG00000006361"	"ENSFALT00000006662"	0.0509	0.0074	0.1459
"ENSFALG00000006357"	"ENSFALT00000006663"	0.3656	0.0228	0.0623
"ENSFALG00000006362"	"ENSFALT00000006664"	1.0743	0.103	0.0959
"ENSFALG00000006343"	"ENSFALT00000006665"	0.0177	0.0017	0.0949
"ENSFALG00000006365"	"ENSFALT00000006667"	1.4748	0.0294	0.0199
"ENSFALG00000006366"	"ENSFALT00000006668"	0.1608	0.0031	0.0195
"ENSFALG00000006370"	"ENSFALT00000006671"	0.1122	0.0131	0.1168
"ENSFALG00000006368"	"ENSFALT00000006672"	0.5371	0.0049	0.0092
"ENSFALG00000006359"	"ENSFALT00000006674"	0.0916	0.0051	0.0554
"ENSFALG00000006372"	"ENSFALT00000006675"	0.1667	0.0237	0.1423
"ENSFALG00000006363"	"ENSFALT00000006676"	0.3834	0.0172	0.0448
"ENSFALG00000006373"	"ENSFALT00000006677"	0.6174	0.0215	0.0348
"ENSFALG00000006376"	"ENSFALT00000006678"	1e-04	0	0.0303
"ENSFALG00000006375"	"ENSFALT00000006679"	0.0809	0.0028	0.0348
"ENSFALG00000006374"	"ENSFALT00000006681"	0.0282	0.0021	0.0729
"ENSFALG00000006378"	"ENSFALT00000006683"	1e-04	0	0.0533
"ENSFALG00000006309"	"ENSFALT00000006685"	0.0121	8e-04	0.0659
"ENSFALG00000006382"	"ENSFALT00000006686"	0.102	0.0042	0.0407
"ENSFALG00000006369"	"ENSFALT00000006689"	0.0794	0.0052	0.0653
"ENSFALG00000006383"	"ENSFALT00000006690"	0.2548	0.0196	0.0769
"ENSFALG00000006380"	"ENSFALT00000006694"	0.0599	0.0056	0.0942
"ENSFALG00000006392"	"ENSFALT00000006695"	0.0528	0.0045	0.0853
"ENSFALG00000006393"	"ENSFALT00000006697"	0.0416	0.0022	0.0531
"ENSFALG00000006385"	"ENSFALT00000006698"	0.1058	0.0197	0.1859
"ENSFALG00000006396"	"ENSFALT00000006699"	1e-04	0	0.0537
"ENSFALG00000006390"	"ENSFALT00000006700"	0.0304	0.0037	0.1213
"ENSFALG00000006397"	"ENSFALT00000006701"	1e-04	0	0
"ENSFALG00000006398"	"ENSFALT00000006702"	0.0165	0.0024	0.1475
"ENSFALG00000006399"	"ENSFALT00000006704"	0.1559	0.0086	0.0552
"ENSFALG00000006402"	"ENSFALT00000006706"	1e-04	0	0.0285
"ENSFALG00000006400"	"ENSFALT00000006707"	1e-04	0	0.0451
"ENSFALG00000006403"	"ENSFALT00000006708"	0.0626	0.0063	0.1013
"ENSFALG00000006387"	"ENSFALT00000006710"	0.5234	0.0255	0.0487
"ENSFALG00000006407"	"ENSFALT00000006711"	0.1203	0.0124	0.103
"ENSFALG00000006406"	"ENSFALT00000006712"	999	0.0198	0
"ENSFALG00000006404"	"ENSFALT00000006713"	0.1458	0.0233	0.1598
"ENSFALG00000006408"	"ENSFALT00000006714"	1e-04	0	0.0533
"ENSFALG00000006410"	"ENSFALT00000006715"	0.0319	0.0016	0.049
"ENSFALG00000006389"	"ENSFALT00000006716"	0.1615	0.008	0.0495
"ENSFALG00000006415"	"ENSFALT00000006719"	0.0947	0.0062	0.0651
"ENSFALG00000006414"	"ENSFALT00000006720"	0.0897	0.0054	0.0601
"ENSFALG00000006413"	"ENSFALT00000006721"	0.0939	0.0092	0.0982
"ENSFALG00000006412"	"ENSFALT00000006722"	0.0326	0.0023	0.0698
"ENSFALG00000006419"	"ENSFALT00000006724"	1e-04	0	0.0346
"ENSFALG00000006416"	"ENSFALT00000006725"	0.1432	0.0093	0.0652
"ENSFALG00000006422"	"ENSFALT00000006726"	0.0724	0.0074	0.102
"ENSFALG00000006418"	"ENSFALT00000006727"	0.0301	0.0024	0.0809
"ENSFALG00000006421"	"ENSFALT00000006728"	0.1527	0.0062	0.0406
"ENSFALG00000006424"	"ENSFALT00000006729"	0.0334	0.0031	0.0929
"ENSFALG00000006409"	"ENSFALT00000006730"	0.074	0.0051	0.0683
"ENSFALG00000006427"	"ENSFALT00000006732"	0.023	0.0025	0.1106
"ENSFALG00000006429"	"ENSFALT00000006734"	0.0721	0.0134	0.1865
"ENSFALG00000006433"	"ENSFALT00000006738"	0.0266	0.003	0.1126
"ENSFALG00000006434"	"ENSFALT00000006739"	0.0411	0.0018	0.044
"ENSFALG00000006435"	"ENSFALT00000006740"	0.2733	0.0783	0.2864
"ENSFALG00000006436"	"ENSFALT00000006741"	0.0884	0.0096	0.1083
"ENSFALG00000006428"	"ENSFALT00000006744"	0.0169	0.0024	0.1435
"ENSFALG00000006439"	"ENSFALT00000006746"	0.1302	0.0032	0.025
"ENSFALG00000006443"	"ENSFALT00000006747"	0.3676	0.0248	0.0675
"ENSFALG00000006440"	"ENSFALT00000006748"	0.0638	0.0034	0.0527
"ENSFALG00000006420"	"ENSFALT00000006749"	0.0451	0.0018	0.0397
"ENSFALG00000006442"	"ENSFALT00000006751"	0.1756	0.0252	0.1437
"ENSFALG00000006445"	"ENSFALT00000006752"	1e-04	0	0.1015
"ENSFALG00000006446"	"ENSFALT00000006753"	0.3607	0.0151	0.042
"ENSFALG00000006448"	"ENSFALT00000006754"	0.1407	0.0062	0.0439
"ENSFALG00000006447"	"ENSFALT00000006755"	1e-04	0	0.036
"ENSFALG00000006453"	"ENSFALT00000006757"	0.0234	0.0027	0.1154
"ENSFALG00000006449"	"ENSFALT00000006758"	0.0879	0.0082	0.0932
"ENSFALG00000006454"	"ENSFALT00000006761"	0.4674	0.0014	0.0031
"ENSFALG00000006455"	"ENSFALT00000006762"	0.0531	0.0212	0.3999
"ENSFALG00000006456"	"ENSFALT00000006763"	0.2132	0.014	0.0655
"ENSFALG00000006457"	"ENSFALT00000006764"	0.0894	0.0051	0.0565
"ENSFALG00000006444"	"ENSFALT00000006765"	0.1624	0.011	0.0676
"ENSFALG00000006459"	"ENSFALT00000006766"	0.1558	0.0064	0.0411
"ENSFALG00000006458"	"ENSFALT00000006767"	1e-04	0	0.0445
"ENSFALG00000006452"	"ENSFALT00000006769"	0.3276	0.0189	0.0577
"ENSFALG00000006460"	"ENSFALT00000006770"	0.1892	0.0245	0.1294
"ENSFALG00000006461"	"ENSFALT00000006771"	0.3273	0.0174	0.0533
"ENSFALG00000006462"	"ENSFALT00000006772"	0.186	0.0203	0.109
"ENSFALG00000006463"	"ENSFALT00000006773"	0.2231	0.0105	0.0469
"ENSFALG00000006466"	"ENSFALT00000006774"	0.0856	0.0039	0.046
"ENSFALG00000006465"	"ENSFALT00000006776"	0.195	0.0175	0.0896
"ENSFALG00000006405"	"ENSFALT00000006778"	0.0241	0.0018	0.0764
"ENSFALG00000006471"	"ENSFALT00000006779"	0.1517	0.0129	0.0853
"ENSFALG00000006473"	"ENSFALT00000006780"	1.1045	0.0759	0.0688
"ENSFALG00000006469"	"ENSFALT00000006783"	1e-04	0	0.0538
"ENSFALG00000006472"	"ENSFALT00000006784"	0.0567	0.0044	0.0769
"ENSFALG00000006477"	"ENSFALT00000006785"	0.2298	0.0153	0.0665
"ENSFALG00000006479"	"ENSFALT00000006788"	0.036	0.007	0.1935
"ENSFALG00000006468"	"ENSFALT00000006789"	0.2585	0.018	0.0695
"ENSFALG00000006482"	"ENSFALT00000006790"	0.2687	0.0118	0.0439
"ENSFALG00000006485"	"ENSFALT00000006791"	1e-04	0	0.0595
"ENSFALG00000006488"	"ENSFALT00000006793"	0.67	0.0316	0.0472
"ENSFALG00000006470"	"ENSFALT00000006794"	0.2424	0.1978	0.816
"ENSFALG00000006484"	"ENSFALT00000006796"	0.5096	0.0217	0.0426
"ENSFALG00000006487"	"ENSFALT00000006797"	0.1087	0.0294	0.2706
"ENSFALG00000006480"	"ENSFALT00000006798"	0.0973	0.0126	0.1291
"ENSFALG00000006493"	"ENSFALT00000006799"	0.106	0.0067	0.0632
"ENSFALG00000006490"	"ENSFALT00000006800"	1e-04	0	0
"ENSFALG00000006492"	"ENSFALT00000006802"	0.0483	0.0066	0.1364
"ENSFALG00000006491"	"ENSFALT00000006804"	0.5224	0.0223	0.0428
"ENSFALG00000006497"	"ENSFALT00000006806"	0.1021	0.0484	0.4737
"ENSFALG00000006483"	"ENSFALT00000006807"	0.0855	0.0068	0.0797
"ENSFALG00000006476"	"ENSFALT00000006808"	0.3093	0.0177	0.0572
"ENSFALG00000006499"	"ENSFALT00000006809"	0.055	0.0018	0.0335
"ENSFALG00000006500"	"ENSFALT00000006811"	0.1402	0.0519	0.3706
"ENSFALG00000006501"	"ENSFALT00000006813"	0.2925	0.0177	0.0605
"ENSFALG00000006506"	"ENSFALT00000006816"	0.4349	0.0066	0.0152
"ENSFALG00000006507"	"ENSFALT00000006817"	1e-04	0	0.0328
"ENSFALG00000006508"	"ENSFALT00000006818"	0.1206	0.0082	0.0684
"ENSFALG00000006504"	"ENSFALT00000006820"	0.0521	0.0051	0.0977
"ENSFALG00000006511"	"ENSFALT00000006822"	0.0939	0.0063	0.067
"ENSFALG00000006518"	"ENSFALT00000006823"	1e-04	0	0.0366
"ENSFALG00000006517"	"ENSFALT00000006825"	0.1136	0.0072	0.0636
"ENSFALG00000006505"	"ENSFALT00000006826"	10.0916	0.0018	2e-04
"ENSFALG00000006522"	"ENSFALT00000006827"	0.0448	0.0025	0.0554
"ENSFALG00000006524"	"ENSFALT00000006828"	0.1073	0.0028	0.0258
"ENSFALG00000006521"	"ENSFALT00000006830"	1e-04	0	0.019
"ENSFALG00000006516"	"ENSFALT00000006831"	0.1429	0.0114	0.0798
"ENSFALG00000006520"	"ENSFALT00000006833"	999	0.0128	0
"ENSFALG00000006526"	"ENSFALT00000006834"	0.3745	0.0134	0.0357
"ENSFALG00000006523"	"ENSFALT00000006837"	1e-04	0	0.0788
"ENSFALG00000006529"	"ENSFALT00000006838"	0.0545	0.02	0.367
"ENSFALG00000006532"	"ENSFALT00000006840"	0.0695	0.0048	0.069
"ENSFALG00000006531"	"ENSFALT00000006842"	1e-04	0	0.037
"ENSFALG00000006535"	"ENSFALT00000006844"	0.1432	0.017	0.1184
"ENSFALG00000006537"	"ENSFALT00000006846"	0.2328	0.0094	0.0405
"ENSFALG00000006538"	"ENSFALT00000006847"	0.0863	0.0053	0.061
"ENSFALG00000006540"	"ENSFALT00000006848"	0.2052	0.0127	0.0617
"ENSFALG00000006543"	"ENSFALT00000006850"	0.0071	6e-04	0.0865
"ENSFALG00000006519"	"ENSFALT00000006851"	0.0183	0.0011	0.0592
"ENSFALG00000006513"	"ENSFALT00000006852"	0.252	0.0615	0.244
"ENSFALG00000006534"	"ENSFALT00000006853"	0.146	0.0084	0.0577
"ENSFALG00000006547"	"ENSFALT00000006855"	0.0526	0.0055	0.1042
"ENSFALG00000006510"	"ENSFALT00000006856"	1e-04	0	0.1001
"ENSFALG00000006550"	"ENSFALT00000006858"	0.0832	0.0038	0.0457
"ENSFALG00000006551"	"ENSFALT00000006859"	0.0383	0.0084	0.2189
"ENSFALG00000006546"	"ENSFALT00000006860"	0.0478	0.0029	0.0606
"ENSFALG00000006553"	"ENSFALT00000006864"	0.1952	0.0075	0.0383
"ENSFALG00000006544"	"ENSFALT00000006865"	0.1569	0.0057	0.0361
"ENSFALG00000006554"	"ENSFALT00000006866"	0.0502	0.0066	0.1313
"ENSFALG00000006555"	"ENSFALT00000006867"	0.2714	0.0218	0.0804
"ENSFALG00000006549"	"ENSFALT00000006869"	0.1697	0.0095	0.0558
"ENSFALG00000006558"	"ENSFALT00000006870"	0.1282	0.0088	0.0684
"ENSFALG00000006541"	"ENSFALT00000006871"	0.0364	7e-04	0.0195
"ENSFALG00000006561"	"ENSFALT00000006872"	0.075	0.0038	0.0512
"ENSFALG00000006559"	"ENSFALT00000006873"	0.1276	0.0203	0.1591
"ENSFALG00000006562"	"ENSFALT00000006875"	0.2373	0.0179	0.0754
"ENSFALG00000006556"	"ENSFALT00000006877"	0.0329	0.0014	0.0416
"ENSFALG00000006560"	"ENSFALT00000006878"	0.1223	0.0153	0.125
"ENSFALG00000006568"	"ENSFALT00000006880"	1e-04	0	0.0011
"ENSFALG00000006569"	"ENSFALT00000006882"	0.0873	0.0153	0.1749
"ENSFALG00000006572"	"ENSFALT00000006884"	1e-04	0	0.057
"ENSFALG00000006574"	"ENSFALT00000006885"	0.0819	0.0134	0.1635
"ENSFALG00000006577"	"ENSFALT00000006886"	0.1512	0.0157	0.104
"ENSFALG00000006580"	"ENSFALT00000006888"	0.1517	0.0138	0.0909
"ENSFALG00000006567"	"ENSFALT00000006889"	0.0822	0.0076	0.0931
"ENSFALG00000006579"	"ENSFALT00000006893"	0.42	0.029	0.069
"ENSFALG00000006583"	"ENSFALT00000006897"	1e-04	0	0.1115
"ENSFALG00000006589"	"ENSFALT00000006899"	0.0536	0.0117	0.2183
"ENSFALG00000006575"	"ENSFALT00000006900"	0.136	0.0072	0.0527
"ENSFALG00000006590"	"ENSFALT00000006901"	1e-04	0	0.0629
"ENSFALG00000006591"	"ENSFALT00000006903"	0.0809	0.0031	0.0382
"ENSFALG00000006564"	"ENSFALT00000006904"	0.0885	0.018	0.2032
"ENSFALG00000006596"	"ENSFALT00000006908"	1e-04	0	0.1455
"ENSFALG00000006597"	"ENSFALT00000006910"	0.0536	0.0156	0.2905
"ENSFALG00000006599"	"ENSFALT00000006912"	0.1306	0.0078	0.0595
"ENSFALG00000006593"	"ENSFALT00000006913"	0.3908	0.0203	0.0519
"ENSFALG00000006604"	"ENSFALT00000006916"	0.0994	0.0049	0.0492
"ENSFALG00000006602"	"ENSFALT00000006917"	0.106	0.0142	0.1341
"ENSFALG00000006592"	"ENSFALT00000006919"	0.0431	0.0031	0.0722
"ENSFALG00000006608"	"ENSFALT00000006920"	0.0209	0.0127	0.6073
"ENSFALG00000006601"	"ENSFALT00000006921"	0.0422	0.005	0.1178
"ENSFALG00000006610"	"ENSFALT00000006923"	0.072	0.0197	0.2741
"ENSFALG00000006609"	"ENSFALT00000006926"	0.5166	0.0285	0.0552
"ENSFALG00000006606"	"ENSFALT00000006927"	0.3013	0.0395	0.1313
"ENSFALG00000006582"	"ENSFALT00000006928"	0.3342	0.023	0.0688
"ENSFALG00000006614"	"ENSFALT00000006929"	0.116	0.0073	0.0626
"ENSFALG00000006613"	"ENSFALT00000006931"	0.1594	0.0152	0.0952
"ENSFALG00000006618"	"ENSFALT00000006932"	0.3772	0.0141	0.0373
"ENSFALG00000006615"	"ENSFALT00000006933"	0.0421	0.0041	0.0971
"ENSFALG00000006619"	"ENSFALT00000006934"	1e-04	0	0.1163
"ENSFALG00000006620"	"ENSFALT00000006936"	1e-04	0	0.0071
"ENSFALG00000006617"	"ENSFALT00000006937"	0.1139	0.0176	0.1542
"ENSFALG00000006624"	"ENSFALT00000006939"	0.1411	0.0034	0.0241
"ENSFALG00000006622"	"ENSFALT00000006940"	0.1631	0.0196	0.1202
"ENSFALG00000006626"	"ENSFALT00000006941"	0.1573	0.0107	0.068
"ENSFALG00000006611"	"ENSFALT00000006945"	0.0594	0.0055	0.0923
"ENSFALG00000006632"	"ENSFALT00000006948"	0.0672	0.0047	0.0703
"ENSFALG00000006634"	"ENSFALT00000006949"	1e-04	0	0.0055
"ENSFALG00000006625"	"ENSFALT00000006950"	0.2191	0.0025	0.0114
"ENSFALG00000006636"	"ENSFALT00000006951"	0.2803	0.0204	0.0728
"ENSFALG00000006637"	"ENSFALT00000006952"	0.1775	0.005	0.028
"ENSFALG00000006633"	"ENSFALT00000006953"	0.2181	0.0159	0.0731
"ENSFALG00000006639"	"ENSFALT00000006954"	0.0472	0.0046	0.0981
"ENSFALG00000006638"	"ENSFALT00000006956"	1.5372	0.0098	0.0064
"ENSFALG00000006643"	"ENSFALT00000006957"	0.1254	0.0191	0.1521
"ENSFALG00000006623"	"ENSFALT00000006958"	0.2884	0.0087	0.0301
"ENSFALG00000006640"	"ENSFALT00000006959"	0.1148	0.0146	0.1275
"ENSFALG00000006648"	"ENSFALT00000006963"	0.2287	0.0293	0.1282
"ENSFALG00000006649"	"ENSFALT00000006964"	0.0374	0.0017	0.0459
"ENSFALG00000006642"	"ENSFALT00000006965"	1e-04	0	0.0448
"ENSFALG00000006647"	"ENSFALT00000006966"	0.1543	0.017	0.1099
"ENSFALG00000006651"	"ENSFALT00000006967"	1e-04	0	0.0435
"ENSFALG00000006655"	"ENSFALT00000006968"	0.0182	0.0014	0.0774
"ENSFALG00000006654"	"ENSFALT00000006969"	1e-04	0	0.0509
"ENSFALG00000006653"	"ENSFALT00000006970"	1e-04	0	0.0362
"ENSFALG00000006645"	"ENSFALT00000006971"	0.5823	0.0143	0.0246
"ENSFALG00000006656"	"ENSFALT00000006972"	0.0276	0.001	0.0367
"ENSFALG00000006629"	"ENSFALT00000006973"	0.0866	0.0117	0.1346
"ENSFALG00000006657"	"ENSFALT00000006976"	0.0668	0.0081	0.1212
"ENSFALG00000006658"	"ENSFALT00000006977"	0.114	0.004	0.0349
"ENSFALG00000006650"	"ENSFALT00000006978"	0.0128	0.0012	0.0898
"ENSFALG00000006663"	"ENSFALT00000006980"	0.0159	0.0019	0.1195
"ENSFALG00000006664"	"ENSFALT00000006984"	0.1194	0.0042	0.0353
"ENSFALG00000006666"	"ENSFALT00000006985"	0.0478	0.0024	0.0505
"ENSFALG00000006660"	"ENSFALT00000006986"	0.1178	0.0066	0.0556
"ENSFALG00000006668"	"ENSFALT00000006987"	1e-04	0	0.0872
"ENSFALG00000006667"	"ENSFALT00000006988"	0.1174	0.0108	0.0923
"ENSFALG00000006670"	"ENSFALT00000006989"	0.1708	0.0058	0.0337
"ENSFALG00000006669"	"ENSFALT00000006990"	0.161	0.0182	0.1132
"ENSFALG00000006672"	"ENSFALT00000006992"	1e-04	0	0.0161
"ENSFALG00000006673"	"ENSFALT00000006993"	1.3652	0.0026	0.0019
"ENSFALG00000006627"	"ENSFALT00000006994"	0.0757	0.0046	0.0611
"ENSFALG00000006674"	"ENSFALT00000006995"	0.0421	0.0064	0.1528
"ENSFALG00000006676"	"ENSFALT00000006996"	0.0371	0.0029	0.0789
"ENSFALG00000006675"	"ENSFALT00000006999"	0.045	0.003	0.0666
"ENSFALG00000006685"	"ENSFALT00000007000"	0.0139	0.001	0.0746
"ENSFALG00000006682"	"ENSFALT00000007001"	0.2968	0.0169	0.0569
"ENSFALG00000006686"	"ENSFALT00000007002"	0.2542	0.008	0.0315
"ENSFALG00000006681"	"ENSFALT00000007004"	0.0355	0.0056	0.1576
"ENSFALG00000006688"	"ENSFALT00000007005"	0.036	0.0021	0.0583
"ENSFALG00000006684"	"ENSFALT00000007006"	0.6075	0.021	0.0346
"ENSFALG00000006689"	"ENSFALT00000007007"	0.0954	0.0055	0.0577
"ENSFALG00000006680"	"ENSFALT00000007008"	0.0541	0.0026	0.0481
"ENSFALG00000006693"	"ENSFALT00000007009"	0.0242	0.0026	0.1073
"ENSFALG00000006692"	"ENSFALT00000007010"	0.0236	7e-04	0.0296
"ENSFALG00000006690"	"ENSFALT00000007011"	0.2604	0.0254	0.0977
"ENSFALG00000006694"	"ENSFALT00000007013"	0.2755	0.0204	0.0741
"ENSFALG00000006697"	"ENSFALT00000007015"	1e-04	0	0.0612
"ENSFALG00000006698"	"ENSFALT00000007017"	1e-04	0	0.0171
"ENSFALG00000006679"	"ENSFALT00000007018"	0.1556	0.0165	0.1058
"ENSFALG00000006695"	"ENSFALT00000007019"	1e-04	0	0.0064
"ENSFALG00000006699"	"ENSFALT00000007021"	0.1197	0.0033	0.0275
"ENSFALG00000006683"	"ENSFALT00000007022"	0.103	0.0053	0.0516
"ENSFALG00000006703"	"ENSFALT00000007024"	0.1227	0.0071	0.0579
"ENSFALG00000006702"	"ENSFALT00000007026"	0.1544	0.0273	0.1768
"ENSFALG00000006707"	"ENSFALT00000007027"	0.0137	6e-04	0.0447
"ENSFALG00000006709"	"ENSFALT00000007028"	0.0748	0.0051	0.0679
"ENSFALG00000006704"	"ENSFALT00000007029"	0.0544	0.0023	0.0424
"ENSFALG00000006710"	"ENSFALT00000007030"	0.1933	0.0076	0.0395
"ENSFALG00000006711"	"ENSFALT00000007031"	0.1463	0.0664	0.4534
"ENSFALG00000006714"	"ENSFALT00000007033"	0.0509	0.0044	0.0863
"ENSFALG00000006717"	"ENSFALT00000007034"	0.0606	0.0035	0.0571
"ENSFALG00000006700"	"ENSFALT00000007035"	0.0163	0.0031	0.191
"ENSFALG00000006716"	"ENSFALT00000007038"	0.1177	0.0508	0.4318
"ENSFALG00000006715"	"ENSFALT00000007039"	0.0692	0.0112	0.162
"ENSFALG00000006721"	"ENSFALT00000007040"	0.0249	0.0087	0.3486
"ENSFALG00000006720"	"ENSFALT00000007041"	1e-04	0	0.1291
"ENSFALG00000006724"	"ENSFALT00000007042"	999	0.0034	0
